word_segment,instances,prominence
འི་,5,9.433962264150944
,4,7.547169811320755
དང་,4,7.547169811320755
ཐམས་ཅད་,3,5.660377358490567
བྱེད་པ,2,3.7735849056603774
དུ་,2,3.7735849056603774
བདག་,1,1.8867924528301887
ལ་,1,1.8867924528301887
སྡང་བ,1,1.8867924528301887
དགྲ,1,1.8867924528301887
གནོད་པ,1,1.8867924528301887
བགེགས,1,1.8867924528301887
ཐར་པ་,1,1.8867924528301887
མཁྱེན་པ,1,1.8867924528301887
བར་,1,1.8867924528301887
གཅོད་པ,1,1.8867924528301887
བྱེད་པ་,1,1.8867924528301887
ཀྱིས་,1,1.8867924528301887
གཙོ་,1,1.8867924528301887
བྱས་པ,1,1.8867924528301887
འི,1,1.8867924528301887
མ་,1,1.8867924528301887
ནམ་མཁའ་,1,1.8867924528301887
མཉམ་པ,1,1.8867924528301887
སེམས་ཅན་,1,1.8867924528301887
བདེ་བ་,1,1.8867924528301887
ལྡན,1,1.8867924528301887
སྡུག་བསྔལ་,1,1.8867924528301887
བྲལ,1,1.8867924528301887
མྱུར་,1,1.8867924528301887
བླ་,1,1.8867924528301887
ན་,1,1.8867924528301887
མེད་པ་,1,1.8867924528301887
ཡང་དག་པ,1,1.8867924528301887
རྫོགས་པ,1,1.8867924528301887
བྱང་ཆུབ་,1,1.8867924528301887
རིན་པོ་ཆེ་,1,1.8867924528301887
ཐོབ་པ,1,1.8867924528301887
བྱ,1,1.8867924528301887
